Part_Label,Scaler:standard,Model:random_forest,FeatureNum:5.0,Split_Ratio:0.1,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,Norm_Order:last,Model:XGBmodel,Random_State:7.0,FeatureNum:6.0
Scaler:standard,,0.9932978661126904,0.9990099672350273,0.9998528788966596,0.9992801136664978,0.9996444785673156,0.9995258711240709,0.9971549091280174,0.9991438824195867,0.9974893728424447
Model:random_forest,0.9932978661126904,,0.9935602791630657,0.991663861563173,0.9916316115302279,0.992760522670918,0.9958020746236984,,0.9899692609599161,0.9832351446290793
FeatureNum:5.0,0.9990099672350273,0.9935602791630657,,0.9991335038891488,0.9997749751850952,0.9997853541525175,0.9995243465066697,0.9985248904982085,0.9994478189366823,
Split_Ratio:0.1,0.9998528788966596,0.991663861563173,0.9991335038891488,,0.9995438648749416,0.9997770335743448,0.9992270718868302,0.9964768153631268,0.9995943355115591,0.9983528718444054
FS_Method:biMaxInfgain,0.9992801136664978,0.9916316115302279,0.9997749751850952,0.9995438648749416,,,0.9991699242755236,0.9974392070639655,0.9999021588051638,0.9982813161871164
FS_Method:biMeanInfgain,0.9996444785673156,0.992760522670918,0.9997853541525175,0.9997770335743448,,,0.999571508209629,0.997719047534398,0.9997594872014274,0.9978839965256702
Norm_Order:last,0.9995258711240709,0.9958020746236984,0.9995243465066697,0.9992270718868302,0.9991699242755236,0.999571508209629,,0.9988827863274985,0.9986915000988337,0.9956968462639261
Model:XGBmodel,0.9971549091280174,,0.9985248904982085,0.9964768153631268,0.9974392070639655,0.997719047534398,0.9988827863274985,,0.9963632109371451,0.9916654028793768
Random_State:7.0,0.9991438824195867,0.9899692609599161,0.9994478189366823,0.9995943355115591,0.9999021588051638,0.9997594872014274,0.9986915000988337,0.9963632109371451,,0.9989352526774394
FeatureNum:6.0,0.9974893728424447,0.9832351446290793,,0.9983528718444054,0.9982813161871164,0.9978839965256702,0.9956968462639261,0.9916654028793768,0.9989352526774394,
